Actual,Hermann_TF,360Security,6Rooms,80sMovie,9YinZhenJing,Anghami,BaiDu,Crackle,eBay,EFood,FrostWire,FsecureFreedomeVPN,Go90,Google+,GoogleAllo,GoogleCast,GoogleMap,GooglePhotos,GooglePlay,GroupMe,Guvera,Hangouts,HidemanVPN,Hidemyass,Hooq,HotSpot,IFengNews,InterVoip,LRR,MeinO2,Minecraft,Mobily,Narutom,NetTalk,NileFM,Palringo,PaltalkScene,PrivateTunnelVPN,PureVPN,QianXunYingShi,QQ,QQReader,RaidCall,Repubblica,RiyadBank,Ryanair,SayHi,Shadowsocks,SmartVoip,Sogou
QQ	QQ	0.00089212,0.01447257,0.00568418,0.00667732,0.04313282,0.04713301,0.00394033,0.00742409,0.00303013,0.00055019,0.00083834,0.01241642,0.05594949,0.0118253,0.00035262,0.0004914,0.00058703,0.01129863,0.00155995,0.00108765,0.00116397,0.04830076,0.00095052,0.01301652,0.0824382,0.00130029,0.00154242,0.00781574,0.01149569,0.0006259,0.00112015,0.0021388,0.00102459,0.00060346,0.01223148,0.01211282,0.01600217,0.0194484,0.00163175,0.48410506,0.0079906,0.00064535,0.0081738,0.00027811,0.00874116,0.02101543,0.00319845,0.0009891,0.00055577
PaltalkScene	PaltalkScene	0,0.00000015,0.00000013,0,0.00000053,0.00000163,0,0.00093496,0,0.00000017,0.00000047,0,0.00062788,0,0.00001404,0.00045362,0.0000038,0.00228592,0.00002455,0.00016529,0.00000117,0.00000002,0.00000007,0.00069668,0.00170514,0.00000196,0.00000108,0,0,0.00000789,0,0,0.00028084,0.00000092,0.0000001,0.98933639,0,0.00004199,0.00000003,0.00000073,0.0000001,0.0000037,0,0.0000143,0,0.00339299,0,0.00000077,0
QQ	QQ	0.00147315,0.00905719,0.11248148,0.00026165,0.00951373,0.00115336,0.0000259,0.01017287,0.00002093,0.00817017,0.00030756,0.00002246,0.00540827,0.00022794,0.00460722,0.00906749,0.00153675,0.02437262,0.00098031,0.00051271,0.00711075,0.00318496,0.00245599,0.01444083,0.01083938,0.08917046,0.00075049,0.00003094,0.00002378,0.00190017,0.00041363,0.0040822,0.00079326,0.00181014,0.00017592,0.01796388,0.00022419,0.00198562,0.00049161,0.30699787,0.23986163,0.00213517,0.00042427,0.00619187,0.00001987,0.0165215,0.00001834,0.00029857,0.07030896
6Rooms	6Rooms	0.00195973,0.53465705,0.00534487,0.00309903,0.0172399,0.00531188,0.01374985,0.01963353,0.00132776,0.00260509,0.00182183,0.00666571,0.00933896,0.0097467,0.00170707,0.00901066,0.00122365,0.18115617,0.00416037,0.00573517,0.00186839,0.01294794,0.00211108,0.00299942,0.00154329,0.00533644,0.00326394,0.00209192,0.00136977,0.0012886,0.002515,0.00567393,0.00219841,0.00082534,0.00222233,0.00161596,0.00762974,0.00181384,0.00921259,0.00678801,0.00356208,0.00090781,0.02295866,0.00052162,0.00130549,0.05115665,0.00153664,0.00560181,0.00163832
QQ	QQ	0.00113949,0.03629586,0.00859767,0.00104475,0.02918139,0.00600564,0.00518258,0.19181677,0.00342826,0.0007788,0.0019931,0.00573861,0.00572009,0.00651272,0.00084326,0.00467011,0.00082013,0.00171436,0.00487289,0.00131388,0.00110561,0.01178606,0.00217727,0.00483546,0.02249261,0.03831417,0.00302528,0.00803768,0.00886427,0.00163209,0.00137831,0.0042273,0.00626223,0.00153121,0.01010847,0.02315347,0.00463587,0.0065761,0.01177262,0.39541293,0.05159372,0.00065689,0.01196592,0.00046541,0.01156922,0.02609753,0.00406839,0.00128168,0.00730188
QQ	Repubblica	0,0,0,0,0.18044783,0.00001329,0.16857028,0,0.0000021,0,0,0.00453245,0.00002238,0.00136448,0,0,0,0,0,0,0,0.00000034,0,0.00004279,0,0,0,0.00000186,0.0004043,0,0,0.00002885,0,0,0.00707726,0,0.00000347,0,0.00000013,0.22196641,0.0000471,0,0.38929975,0,0,0.0261713,0.00000364,0,0
Crackle	Crackle	0,0,0,0,0.00003545,0.00000012,0.92148147,0,0,0,0,0.00000007,0.0000001,0.00000008,0,0,0,0,0,0,0,0.00001811,0,0,0,0,0,0.00000002,0.00000069,0,0,0,0,0,0.00112736,0,0.00000063,0,0,0.00771528,0.00093034,0,0.06851652,0,0,0.00000516,0.00016859,0,0
QQ	QQ	0.00220322,0.02182094,0.01112359,0.00206309,0.01016322,0.00589394,0.00249783,0.0332003,0.00198965,0.00166878,0.00214816,0.00214364,0.06052609,0.00476436,0.00245914,0.00238702,0.00435378,0.02170308,0.00294604,0.00459842,0.02623037,0.02823051,0.00226093,0.02657275,0.01518436,0.00459816,0.00432863,0.00288624,0.00258646,0.00192936,0.00256731,0.00700145,0.00274221,0.00150096,0.00314906,0.00476335,0.02195935,0.01085407,0.0047936,0.57105566,0.01963694,0.00145803,0.00832342,0.00117901,0.00186952,0.0117712,0.00487917,0.00251407,0.00251956
Anghami	SayHi	0.00011545,0.00063231,0.03065091,0.00019342,0.11549745,0.0009273,0.00028673,0.20444269,0.00009329,0.00256819,0.01136393,0.0003834,0.0207474,0.00265793,0.00036578,0.02042495,0.00087786,0.06810126,0.03170213,0.00027622,0.00488172,0.00561089,0.00022059,0.00591653,0.11116085,0.00063249,0.00134602,0.00020127,0.00019981,0.00158109,0.00020116,0.0008215,0.00057989,0.00475177,0.00043874,0.00823953,0.00022915,0.00652906,0.00038243,0.00811179,0.00350222,0.00177309,0.00055131,0.00004715,0.00008921,0.31806497,0.00011561,0.00069637,0.0008152
QQReader	QQReader	0.00280965,0.00019027,0.00021283,0.00014541,0.00009046,0.00056237,0.00021806,0.00063788,0.0001054,0.00009079,0.00015269,0.00011104,0.00057854,0.00010707,0.00045376,0.00008975,0.00009837,0.00000734,0.00015043,0.00019367,0.00012856,0.00166399,0.00018082,0.00256499,0.00028583,0.00028256,0.00026637,0.0001692,0.00024704,0.00010231,0.00021777,0.00045348,0.00057859,0.0003571,0.00020366,0.00005179,0.00006267,0.00488738,0.00018819,0.0505456,0.92253333,0.0001022,0.00505547,0.00003773,0.00010471,0.00040668,0.00021468,0.0004706,0.00063092
