Actual,Liberatore_NB,360Security,6Rooms,80sMovie,9YinZhenJing,Anghami,BaiDu,Crackle,eBay,EFood,FrostWire,FsecureFreedomeVPN,Go90,Google+,GoogleAllo,GoogleCast,GoogleMap,GooglePhotos,GooglePlay,GroupMe,Guvera,Hangouts,HidemanVPN,Hidemyass,Hooq,HotSpot,IFengNews,InterVoip,LRR,MeinO2,Minecraft,Mobily,Narutom,NetTalk,NileFM,Palringo,PaltalkScene,PrivateTunnelVPN,PureVPN,QianXunYingShi,QQ,QQReader,RaidCall,Repubblica,RiyadBank,Ryanair,SayHi,Shadowsocks,SmartVoip,Sogou
QQ	InterVoip	0.00014218,0.00000003,0.00020172,0.00092802,0.00000089,0,0.00000079,0.00064116,0.00000001,0.00035242,0.0001102,0,0,0.00000013,0,0,0,0,0.00000096,0.00000001,0.00000003,0.00029079,0.37170684,0,0.00000177,0.00123109,0.41706976,0.00100761,0.00000001,0.00000011,0.00472729,0.00037623,0.16499006,0,0.00000002,0.00000001,0,0.00241323,0,0.00432984,0.00002914,0,0.00009293,0,0,0.00001372,0,0.02933897,0.00000204
PaltalkScene	InterVoip	0.00001975,0,0.00001677,0.00000285,0.00000018,0,0.00000007,0.00001558,0,0.00003261,0.0000093,0,0,0.00000006,0,0,0,0,0.00000019,0,0,0.00002768,0.03126433,0,0.00000201,0.00011036,0.80510173,0.00012034,0.00000003,0.00000051,0.00039863,0.00003173,0.15436633,0,0.00000001,0.00000001,0,0.00052893,0,0.00056304,0.0000053,0,0.00000907,0,0,0.00000464,0,0.00736776,0.00000017
QQ	InterVoip	0.00014326,0,0.00006603,0.00003106,0.00000088,0,0.00000079,0.00012536,0.00000001,0.00035416,0.00011074,0,0,0.00000013,0,0,0,0,0.00000095,0,0.00000003,0.00028874,0.37358919,0,0.00000084,0.0012308,0.41912026,0.00101257,0,0.00000011,0.00475074,0.00037871,0.16580123,0,0.00000002,0,0,0.00240462,0,0.00097296,0.00002851,0,0.00009299,0,0,0.00000901,0,0.02948322,0.00000206
6Rooms	SmartVoip	0,0.00000024,0.00030623,0.0006239,0.00001445,0,0,0.00000001,0,0.00000004,0,0,0,0.0000021,0,0,0,0,0,0.00000002,0.00000027,0.00233532,0.00000517,0,0,0.00000002,0.0000058,0.00000001,0,0,0.00000007,0.00201216,0.00000229,0,0,0,0,0.00000003,0,0.00182158,0,0,0.00165345,0,0,0.00016424,0,0.9910526,0
QQ	InterVoip	0.00014192,0.00000002,0.00006562,0.00003085,0.0000021,0,0.00000079,0.00038362,0.00000001,0.00035178,0.00010999,0,0,0.00000017,0,0,0,0,0.00000104,0,0.00000003,0.00029373,0.37103029,0,0.00000087,0.00487858,0.41631065,0.00099605,0.00000001,0.00000011,0.00471868,0.00037554,0.16512538,0,0.00000002,0,0,0.00239289,0,0.00330154,0.00008845,0,0.0000925,0,0,0.00001875,0,0.02928557,0.00000242
QQ	QQ	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99999862,0,0,0,0,0,0.00000138,0,0,0
Crackle	Crackle	0,0,0,0,0.00004617,0.00000016,0.99023254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092274,0,0,0,0,0,0,0,0,0,0,0,0,0.00000103,0,0,0,0,0.00879735,0.00000001,0,0,0,0,0,0,0,0
QQ	InterVoip	0.00014289,0,0.0000659,0.00003106,0.00000088,0,0.00000079,0.00012499,0.00000001,0.00035417,0.00011074,0,0,0.00000013,0,0,0,0,0.00000095,0,0.00000003,0.00028903,0.3735506,0,0.00000084,0.00123719,0.41913854,0.00101261,0,0.00000011,0.00475074,0.00037809,0.16580846,0,0.00000002,0,0,0.00240604,0,0.00097792,0.00002862,0,0.00009299,0,0,0.00000908,0,0.0294845,0.00000205
Anghami	InterVoip	0.00014234,0.00000001,0.00007672,0.00003094,0.00000127,0,0.00000093,0.00020075,0.00000001,0.00082114,0.00013911,0,0,0.00000014,0,0,0,0,0.00000136,0,0.00000003,0.00030035,0.37210425,0,0.00000095,0.00125803,0.41751567,0.00104984,0,0.00000013,0.00473234,0.00038927,0.16516646,0,0.00000002,0,0,0.00239533,0,0.00098697,0.00002935,0,0.00009263,0,0,0.00001361,0,0.03254802,0.00000204
QQReader	NetTalk	0.00000119,0.00000002,0,0,0,0,0.00000274,0.00109817,0,0,0,0,0,0,0,0,0,0,0,0,0.00000014,0.00000001,0.00000309,0,0.00000054,0.00000001,0.00000346,0.00000001,0,0,0.00000004,0,0.63351822,0,0,0,0,0.06668408,0,0.02216752,0.01439398,0,0,0,0,0.00002532,0,0.26208518,0.00001628
