0,0; 	       0;  	   253;   	    647; 		0,281;
0,1; 	       0;  	   253;   	    647; 		0,281;
0,2; 	       0;  	   253;   	    647; 		0,281;
0,3; 	       8;  	   253;   	    639; 		0,284;
0,4; 	      86;  	   250;   	    564; 		0,307;
0,5; 	     414;  	   241;   	    245; 		0,496;
0,6; 	     444;  	   237;   	    219; 		0,520;
0,7; 	     484;  	   234;   	    182; 		0,562;
0,8; 	     520;  	   229;   	    151; 		0,603;
0,9; 	     572;  	   213;   	    115; 		0,649;
1,0; 	     756;  	   124;   	     20; 		0,861;
